PSG.LGD	1	Ame	April  7, 1997
PSG.LGD	2	NothingToSay	December 21, 2000
PSG.LGD	3	Faith bian	May 16, 1998
PSG.LGD	4	XinQ	July  6, 1998
PSG.LGD	5	Y`	August  8, 1998
OG	1	Yuragi	September  8, 2001
OG	2	Bzm	April 22, 2005
OG	3	ATF	April  3, 2005
OG	4	Taiga	July  4, 1998
OG	5	Misha	July 24, 1997
Team Spirit	1	Yatoro	March 12, 2003
Team Spirit	2	TORONTOTOKYO	April 30, 1997
Team Spirit	3	Collapse (Russian player)	February 25, 2002
Team Spirit	4	Mira	November  3, 1999
Team Spirit	5	Miposhka	November 30, 1997
Beastcoast	1	K1	November 10, 2000
Beastcoast	2	Chris Luck	October 20, 1997
Beastcoast	3	Wisper	November  3, 2001
Beastcoast	4	Gōjira	April 29, 1998
Beastcoast	5	Stinger	December  4, 1996
Team Aster	1	Monet	September 25, 1999
Team Aster	2	Ori	July 22, 1995
Team Aster	3	Xxs	August 21, 1999
Team Aster	4	BoBoKa	January  6, 1997
Team Aster	5	皮球	April 30, 1996
Thunder Awaken	1	Pakazs	August  6, 2001
Thunder Awaken	2	DarkMago	April 11, 1999
Thunder Awaken	3	Sacred (Peruvian player)	October  9, 2000
Thunder Awaken	4	Matthew	July 19, 1998
Thunder Awaken	5	Pandaboo	May 19, 2000
BOOM Esports	1	JaCkky	November  6, 1999
BOOM Esports	2	Yopaj	August 26, 2001
BOOM Esports	3	Fbz	April 27, 2001
BOOM Esports	4	TIMS	July  4, 1997
BOOM Esports	5	Skem	February 19, 2000
TSM	1	Timado	September  6, 2000
TSM	2	Bryle	January 28, 2001
TSM	3	SabeRLight-	October 13, 2000
TSM	4	MoonMeander	January 28, 1992
TSM	5	DuBu	July 12, 1993
Tundra Esports	1	Skiter	September 12, 1998
Tundra Esports	2	Nine	May 11, 1998
Tundra Esports	3	33	April 17, 1997
Tundra Esports	4	Saksa	June 12, 1995
Tundra Esports	5	Sneyking	May  3, 1995
Gaimin Gladiators	1	DyrachYO	September  5, 2001
Gaimin Gladiators	2	BOOM	May  2, 2000
Gaimin Gladiators	3	Ace	January 19, 1994
Gaimin Gladiators	4	TOfu (German player)	August 14, 1996
Gaimin Gladiators	5	Seleri	July  3, 1999
Evil Geniuses	1	Arteezy	July  1, 1996
Evil Geniuses	2	Abed	August  2, 2000
Evil Geniuses	3	Nightfall	May 16, 2002
Evil Geniuses	4	Cr1t-	July 13, 1996
Evil Geniuses	5	Fly	March  9, 1993
Fnatic	1	Raven	September 22, 1998
Fnatic	2	Armel	January 20, 2000
Fnatic	3	Jabz	September 22, 1998
Fnatic	4	DJ	November  6, 1994
Fnatic	5	Jaunuel	October 18, 1998
Soniqs	1	YawaR	April  3, 1997
Soniqs	2	Quinn	September  9
Soniqs	3	LESLÃO	November 24, 1996
Soniqs	4	MSS	November 28, 1995
Soniqs	5	Fata	February 24, 1993
Hokori	1	Lumière	June 17, 2000
Hokori	2	4nalog	March 30, 2001
Hokori	3	Vitaly	October 19, 1998
Hokori	4	Thiolicor	August 10, 1999
Hokori	5	Gardick	August 20, 1997
BetBoom Team	1	Daxak	May  7, 1997
BetBoom Team	2	Larl	January 22, 2002
BetBoom Team	3	Noticed	August  6, 2002
BetBoom Team	4	RodjER	December 14, 1993
BetBoom Team	5	SoNNeikO	May 16, 1997
Royal Never Give Up	1	Ghost (Daniel Chan)	January 14, 1998
Royal Never Give Up	2	Somnus	December 16, 1995
Royal Never Give Up	3	Chalice	August 16, 1998
Royal Never Give Up	4	Kaka	November  7, 1992
Royal Never Give Up	5	XNova	October  1, 1997
