Virtus.pro,1,RAMZES666,1999/4/25
Virtus.pro,2,Noone,1997/9/4
Virtus.pro,3,9pasha,1992/6/30
Virtus.pro,4,RodjER,1993/12/14
Virtus.pro,5,Solo,1990/8/7
Team Liquid,1,MATUMBAMAN,1995/3/3
Team Liquid,2,Miracle-,1997/6/20
Team Liquid,3,MinD ContRoL,1995/1/20
Team Liquid,4,GH,N/A
Team Liquid,5,KuroKy,1992/10/28
PSG.LGD,1,Ame,1997/4/7
PSG.LGD,2,SomnusÿºM,1995/12/16
PSG.LGD,3,Chalice,1998/8/16
PSG.LGD,4,Fy,1995/2/12
PSG.LGD,5,XNova,1997/10/1
Team Secret,1,Ace,1994/1/19
Team Secret,2,MidOne,1996/6/3
Team Secret,3,Fata,1993/2/24
Team Secret,4,YapzOr,1994/10/17
Team Secret,5,Puppey,1990/3/6
Mineski,1,Mushi,1990/11/27
Mineski,2,Moon (Kam Boon Seng),1995/2/12
Mineski,3,Iceiceice,1990/6/17
Mineski,4,Jabz,1998/9/22
Mineski,5,Ninjaboogie,1992/1/31
Vici Gaming,1,PaparaziÏ·,1996/6/27
Vici Gaming,2,Ori,N/A
Vici Gaming,3,ELeVeN,1995/12/7
Vici Gaming,4,LaNm,1989/12/25
Vici Gaming,5,Fenrir,1989/1/18
Newbee,1,Moogy,1994/4/19
Newbee,2,Sccc,1995/8/18
Newbee,3,Kpii,N/A
Newbee,4,Kaka,1992/11/7
Newbee,5,Faith,1992/2/6
VGJ.Thunder,1,Sylar,1993/12/20
VGJ.Thunder,2,Freeze,1996/12/27
VGJ.Thunder,3,Yang,1996/11/15
VGJ.Thunder,4,Pain,N/A
VGJ.Thunder,5,Ddc,1990/7/3
OG,1,Ana,1999/10/26
OG,2,Topson,N/A
OG,3,7ckngMad,1992/5/11
OG,4,JerAx,1992/5/7
OG,5,N0tail,1993/10/8
Winstrike Team,1,Silent,1992/12/3
Winstrike Team,2,Iceberg,1997/4/13
Winstrike Team,3,Nongrata,N/A
Winstrike Team,4,Nofear,1993/7/3
Winstrike Team,5,ALWAYSWANNAFLY,1991/3/6
Team Serenity,1,Zhizhizhi,N/A
Team Serenity,2,Zyd,N/A
Team Serenity,3,XinQ,N/A
Team Serenity,4,Pyw,N/A
Team Serenity,5,XCJ,N/A
Invictus Gaming,1,Agressif,1991/11/11
Invictus Gaming,2,Xxs,1999/8/21
Invictus Gaming,3,Srf,N/A
Invictus Gaming,4,BoBoKa,1997/1/6
Invictus Gaming,5,Q,1993/4/18
Fnatic,1,EternaLEnVy,1991/7/2
Fnatic,2,Abed,2000/8/2
Fnatic,3,UNiVeRsE,1989/10/11
Fnatic,4,DJ,1994/11/6
Fnatic,5,Pieliedie,N/A
TNC Predator,1,Raven,1998/9/22
TNC Predator,2,Armel,2000/1/20
TNC Predator,3,Sam H,1994/12/12
TNC Predator,4,Tims,1997/7/4
TNC Predator,5,Kuku,1996/9/21
VGJ.Storm,1,YawaR,N/A
VGJ.Storm,2,Resolut1on,1996/9/2
VGJ.Storm,3,Sneyking,1995/5/3
VGJ.Storm,4,MSS,N/A
VGJ.Storm,5,SVG,N/A
Evil Geniuses,1,Arteezy,1996/7/1
Evil Geniuses,2,Suma1L,1999/2/13
Evil Geniuses,3,S4,1992/4/1
Evil Geniuses,4,Cr1t-,1996/7/13
Evil Geniuses,5,Fly,1993/3/9
OpTic Gaming,1,Pajkatt,1992/9/19
OpTic Gaming,2,CCnC,N/A
OpTic Gaming,3,33,1997/4/17
OpTic Gaming,4,Zai,1997/8/5
OpTic Gaming,5,Ppd,1991/11/2
PaiN Gaming,1,HFn,1997/8/31
PaiN Gaming,2,W33,1995/3/6
PaiN Gaming,3,Tavo,1994/12/19
PaiN Gaming,4,Kingrd,1992/1/2
PaiN Gaming,5,Duster,2000/8/8
